subject_ID,wm-lh-bankssts,wm-lh-caudalanteriorcingulate,wm-lh-caudalmiddlefrontal,wm-lh-cuneus,wm-lh-entorhinal,wm-lh-fusiform,wm-lh-inferiorparietal,wm-lh-inferiortemporal,wm-lh-isthmuscingulate,wm-lh-lateraloccipital,wm-lh-lateralorbitofrontal,wm-lh-lingual,wm-lh-medialorbitofrontal,wm-lh-middletemporal,wm-lh-parahippocampal,wm-lh-paracentral,wm-lh-parsopercularis,wm-lh-parsorbitalis,wm-lh-parstriangularis,wm-lh-pericalcarine,wm-lh-postcentral,wm-lh-posteriorcingulate,wm-lh-precentral,wm-lh-precuneus,wm-lh-rostralanteriorcingulate,wm-lh-rostralmiddlefrontal,wm-lh-superiorfrontal,wm-lh-superiorparietal,wm-lh-superiortemporal,wm-lh-supramarginal,wm-lh-frontalpole,wm-lh-temporalpole,wm-lh-transversetemporal,wm-lh-insula,wm-rh-bankssts,wm-rh-caudalanteriorcingulate,wm-rh-caudalmiddlefrontal,wm-rh-cuneus,wm-rh-entorhinal,wm-rh-fusiform,wm-rh-inferiorparietal,wm-rh-inferiortemporal,wm-rh-isthmuscingulate,wm-rh-lateraloccipital,wm-rh-lateralorbitofrontal,wm-rh-lingual,wm-rh-medialorbitofrontal,wm-rh-middletemporal,wm-rh-parahippocampal,wm-rh-paracentral,wm-rh-parsopercularis,wm-rh-parsorbitalis,wm-rh-parstriangularis,wm-rh-pericalcarine,wm-rh-postcentral,wm-rh-posteriorcingulate,wm-rh-precentral,wm-rh-precuneus,wm-rh-rostralanteriorcingulate,wm-rh-rostralmiddlefrontal,wm-rh-superiorfrontal,wm-rh-superiorparietal,wm-rh-superiortemporal,wm-rh-supramarginal,wm-rh-frontalpole,wm-rh-temporalpole,wm-rh-transversetemporal,wm-rh-insula,Left-UnsegmentedWhiteMatter,Right-UnsegmentedWhiteMatter
CNBD_00030,3354.3,3170.7,9030.9,3066.9,1053.6,7661.5,12511.3,8651.4,4202.1,12466.9,8074.8,6038.7,3577.5,7847.0,1901.9,5168.4,3674.1,1322.0,3366.9,3737.8,9225.6,5338.7,18591.5,12135.9,3563.1,16449.6,23745.7,13680.2,11055.2,11048.8,381.8,929.8,914.3,10810.6,3686.3,2856.5,8587.5,3026.1,792.3,7200.2,13671.6,8025.4,3597.1,11831.0,7443.1,6669.2,4645.6,8076.5,1814.8,5048.6,4028.5,1406.9,4573.0,3409.7,9647.6,4691.6,18343.7,13397.8,1994.5,16903.5,21934.5,12116.5,8734.0,10972.2,472.6,766.5,737.8,11636.0,42473.1,39141.6
CNBD_00031,3137.0,2233.3,5697.0,2652.7,741.2,5158.3,9821.2,6105.8,2891.5,9849.3,6347.3,5185.3,3737.9,5085.8,1136.0,4187.3,2878.6,902.1,3105.9,2864.9,7508.6,4307.0,11851.8,8427.9,2124.8,12786.5,15799.3,12642.4,6980.0,6342.7,285.8,730.1,811.1,8270.5,3234.7,2721.1,6556.9,2600.2,890.2,5693.8,11810.0,7053.4,2463.2,9288.3,7531.4,5168.5,4025.4,5916.9,1206.0,5206.1,3154.3,1125.7,2853.0,2684.7,6863.4,4268.2,11498.5,9441.7,1638.7,13295.4,16292.9,11507.4,6115.1,9669.2,409.5,748.7,763.2,7955.2,18280.7,19578.6
CNBD_00032,2891.5,2670.1,5641.7,2873.1,824.8,5907.6,9773.1,5903.5,3682.1,8747.9,6280.7,6735.2,3464.4,6576.5,1381.6,3659.6,3436.6,856.1,2764.0,3307.0,6971.4,3880.2,12852.4,9142.4,2358.5,11276.0,15290.7,12271.4,7743.8,8315.4,277.2,887.2,881.4,9796.6,3223.3,2702.1,5432.8,2459.0,663.6,5902.8,11079.4,5633.4,3630.5,8970.7,5868.8,7217.3,3510.3,6522.0,1852.8,4306.2,2612.7,1118.5,3148.7,3324.1,6930.8,4168.9,12409.5,8961.1,1441.7,10842.4,14527.8,10911.4,6591.6,7527.4,361.0,796.4,702.3,9589.0,27317.6,27203.8
CNBD_00033,4255.2,2294.5,7533.6,3573.1,1089.4,8489.0,12642.0,8630.1,4081.3,11766.5,8160.7,7543.8,4278.6,7341.4,1985.9,4598.1,3866.3,1215.2,2589.5,4818.4,8143.5,3567.3,17343.5,11653.7,3172.7,14429.3,21405.4,13666.8,7900.2,11738.7,372.4,1026.3,826.2,10956.8,3432.5,2918.4,7111.3,3566.2,1434.4,7780.8,13861.1,9005.4,3455.9,12171.1,9476.4,7873.1,4423.6,8224.6,1890.0,5873.7,4010.0,1409.8,3121.7,4645.6,8649.6,5351.2,17160.2,11572.0,2778.4,13246.5,21178.7,13699.4,8628.7,11384.6,470.7,1095.9,696.5,11200.8,33733.7,34072.1
CNBD_00038,4004.9,2999.5,8241.3,2519.4,1464.8,8335.3,16902.5,8198.8,4066.7,12447.9,8080.9,6032.1,5444.1,8630.6,1773.9,5240.6,3941.4,1376.9,3704.9,3208.3,9214.9,5311.8,17820.0,12121.4,3117.9,16710.8,23624.4,17546.2,12038.2,13189.5,333.1,945.7,943.6,11259.4,2495.8,2604.8,7717.3,2870.6,1274.6,8396.6,17641.5,7942.6,4115.1,13999.4,7902.7,6711.4,4619.8,9030.2,1791.4,6044.4,3683.7,1493.6,4617.0,3461.1,11010.9,5076.4,15129.0,14090.3,3114.3,18590.0,23151.2,13816.8,9260.6,11584.1,456.3,945.3,882.0,11257.9,44504.4,44475.5
CNBD_00040,3055.4,3239.5,8450.4,2940.1,847.3,7859.0,11647.0,9264.7,4385.9,9875.0,7626.8,7619.1,4060.2,7934.1,1985.1,4263.1,3458.1,1103.4,2783.8,4413.7,8541.2,4910.3,15832.7,10106.8,2702.1,13025.4,19746.7,13046.8,9471.9,11388.4,381.0,627.8,776.8,9986.1,3638.2,2640.3,5876.6,2898.2,804.3,8113.0,12369.5,8300.9,4574.4,11809.0,7196.4,7723.7,4999.7,8277.3,2022.1,4752.7,3210.3,1345.7,3838.9,4578.7,9002.2,4022.3,15609.0,10550.1,2292.0,15146.5,19369.8,12468.9,7123.2,9619.7,552.2,853.2,552.6,10199.2,33755.1,32906.6
CNBD_00043,2982.7,2874.1,6530.8,2532.2,844.1,6816.3,8049.3,6742.7,3370.1,9016.6,6234.0,5031.3,3598.4,5631.8,1407.7,3801.5,3664.3,748.5,2900.0,2788.4,7741.8,3849.9,14353.0,9149.2,3149.3,10942.7,16883.9,12220.4,8258.1,10386.0,317.8,695.2,702.5,9559.2,2248.1,2237.2,5714.7,2485.1,807.5,6635.9,9064.4,6579.2,2623.9,9339.2,6895.3,4806.7,3766.2,5905.2,1458.2,4480.1,2765.4,1091.8,2873.7,2843.0,8532.8,3589.5,16019.6,9940.8,1762.4,10760.0,17172.1,11374.3,6445.5,8914.7,450.9,687.0,530.9,9793.5,27069.2,26201.8
CNBD_00044,2230.8,2404.1,5044.0,3340.9,948.3,6026.4,10069.6,5589.5,2991.9,9083.8,6966.3,6218.6,4098.4,6122.8,1466.6,2943.9,2774.2,1021.1,2779.2,3493.4,6294.2,3631.9,13006.4,6660.3,1796.5,12475.2,16495.7,10203.3,6890.4,6862.0,323.4,691.4,745.4,8959.1,2877.0,3176.5,4700.2,2870.2,1003.6,6449.1,8785.6,5630.1,3303.6,9768.8,7366.4,6917.0,3884.0,5706.9,1621.3,4007.6,2841.1,1419.3,3055.9,3921.5,6224.0,3806.1,12213.7,6383.7,1651.3,11747.2,13988.9,9211.3,6298.6,6978.3,326.7,714.9,590.3,8800.7,27459.9,25586.9
CNBD_00047,2603.4,2658.3,7823.4,3182.1,1400.5,6607.0,10394.8,9707.8,3828.3,11022.0,8162.9,5115.8,4065.9,7404.6,1549.5,4375.7,3522.9,1364.2,3221.1,4072.1,7663.0,4867.4,16912.0,9940.4,2914.2,14627.9,20712.0,12838.5,9494.7,8985.5,391.1,967.9,1243.6,10686.1,3041.6,2969.0,6967.5,2886.3,1126.3,7156.5,13052.8,7242.9,3211.3,10077.1,8351.3,5748.4,5265.2,7650.5,1501.8,5903.7,4073.0,1868.9,4237.7,3811.2,7560.8,4546.9,17574.3,9731.8,1821.4,16876.8,20237.4,12369.0,8923.2,11460.6,379.6,876.2,562.7,9333.3,34122.8,34134.3
CNBD_00048,2766.9,2757.2,8023.9,3139.8,1132.7,7357.2,11669.3,6855.6,3669.9,9698.8,8397.1,5682.3,5076.3,6566.6,1780.9,4767.5,4751.3,1213.4,3107.7,4034.0,8708.7,5085.8,14977.2,10823.3,3122.9,15374.4,21206.3,12359.7,10181.0,9759.8,381.5,1035.7,875.2,10681.4,2403.0,3028.7,8068.5,3349.6,1024.8,6856.7,10035.8,6806.5,3359.7,12386.8,8700.4,6387.8,4656.8,7160.7,1417.3,5405.0,4113.0,1307.5,3697.6,4395.4,8622.6,5321.7,15844.2,11088.5,2506.6,13449.8,21248.5,11959.8,9008.7,9888.4,336.7,1167.1,654.9,10353.0,32046.4,29863.9
CNBD_00051,3220.5,2816.0,5542.4,2149.0,632.9,6368.5,8870.1,5788.0,3032.3,8489.5,5962.7,5101.9,3580.8,5302.3,1870.1,3684.8,3253.2,1046.3,3071.0,2630.6,7432.5,4259.8,14133.2,8125.9,2262.4,9879.3,17878.5,11454.6,7177.6,8643.5,275.0,781.3,767.6,9072.7,3049.1,2948.6,5242.1,2141.5,640.3,5926.9,11132.7,5671.7,3003.5,7811.4,6217.5,4887.2,3604.7,5807.4,1644.9,4501.0,3488.6,1154.2,3223.9,3019.6,7670.6,3717.0,14507.3,9164.3,1583.8,10336.6,16283.8,11358.2,5958.6,8745.2,400.5,833.3,634.1,9644.7,22225.4,23415.4
CNBD_00052,3667.7,2187.1,5276.2,3313.4,879.5,8017.5,12795.7,7349.3,3603.1,14321.9,8163.4,5695.8,4570.0,7067.1,1589.1,4438.4,4778.5,1221.2,3420.6,2948.1,7348.1,4292.9,15408.4,9847.7,2541.6,13548.1,20899.0,10916.0,7890.6,6435.9,354.7,919.2,1210.5,10433.1,2846.4,3740.8,5159.2,3168.7,788.2,7252.0,12299.8,7406.1,3065.7,9906.7,8108.3,5231.1,4203.8,8545.2,1595.8,4800.6,3488.5,1552.6,3822.8,3155.0,7638.4,5223.4,17302.7,11424.4,2094.9,12883.5,18947.6,12472.9,9193.1,9942.7,339.2,1415.0,641.8,10481.3,39591.9,39269.1
CNBD_00054,2863.6,2973.7,7211.9,2986.3,955.7,7816.1,11376.0,9286.8,3747.1,12334.5,7442.3,6595.5,3800.9,6781.7,1724.5,4488.9,3333.4,1141.4,3717.5,3541.2,7159.0,5232.1,15128.4,10672.7,3352.9,13408.9,19222.8,12274.4,9227.8,8562.8,341.8,1143.9,860.9,10537.3,3289.6,3142.3,7100.4,3008.5,911.9,6309.9,15642.3,7494.6,3725.3,10689.9,8204.3,7343.4,4526.7,7893.1,1783.2,5281.0,3354.4,1353.4,3587.9,4070.8,6435.1,4820.6,13350.6,11694.8,2096.0,13717.0,17823.9,13230.3,7747.7,7229.6,508.5,984.2,623.9,9118.2,31077.5,29914.0
CNBD_00055,2568.7,2195.3,5047.8,2406.7,644.0,4960.8,8777.3,5265.5,3500.5,8870.8,5367.3,5042.2,3002.2,5432.9,1386.3,3027.6,2642.7,714.0,2209.7,2999.8,6183.6,3806.8,12660.4,7159.4,2414.1,11075.1,14704.2,11374.7,7166.9,7092.0,321.8,643.2,683.0,7981.5,2896.0,2323.6,5557.9,2387.9,819.9,4499.0,9540.1,4952.3,3241.6,8117.7,5490.2,6604.0,3955.3,6257.8,1542.4,3114.3,2577.7,921.9,2440.3,3145.6,6713.4,3818.0,13073.3,7584.1,1393.7,9744.5,15904.5,10940.5,5686.1,6608.1,299.1,591.6,619.6,7683.8,27167.2,26397.5
CNBD_00056,2961.8,2626.5,7354.9,2917.9,1063.7,7588.4,10969.5,6451.0,4073.7,11434.8,7708.3,4980.2,4765.1,7760.1,1815.5,4527.1,3747.8,1055.9,3557.8,2789.9,6987.5,4279.1,16479.9,11200.5,2812.6,15197.4,21219.5,14018.3,10889.8,9195.4,341.1,968.1,1087.9,10264.2,2313.2,3285.1,5968.7,2862.5,1097.0,7532.6,12555.2,7644.1,4158.9,12497.3,8325.6,4612.1,4820.3,7453.2,1572.8,5532.3,3480.3,1639.4,3658.8,2887.4,8108.4,4747.8,14836.1,11077.8,1917.8,16439.3,20113.5,12518.4,8387.2,9325.0,585.4,866.8,524.8,10047.2,36543.1,36271.6
CNBD_00059,3104.6,3015.0,5806.1,2192.9,752.0,7075.0,8619.2,5385.1,3944.0,9543.7,5996.5,4654.9,3716.8,4577.6,1522.9,3834.0,3048.3,863.4,2170.7,2818.1,6326.2,4390.6,12943.8,9538.4,2086.1,10964.2,14687.9,11254.9,6937.0,7261.8,287.3,690.0,816.5,8721.5,2921.2,2152.3,5324.4,2337.1,778.8,6029.4,9973.8,5520.9,2987.2,9789.5,6829.1,4799.4,4206.5,6005.0,1645.3,4865.0,2683.9,1209.0,3204.2,2626.0,6066.5,3821.2,13383.2,9383.0,1850.6,10863.6,15524.6,10166.0,6263.8,6930.8,389.1,615.1,666.0,8085.6,29921.7,29753.0
CNBD_00065,1720.1,2923.7,5089.9,2279.0,766.3,5821.1,9759.5,5026.1,3165.2,8708.6,5808.0,4887.6,2788.3,4155.7,1441.4,3435.4,2872.0,931.4,2901.1,3461.2,5489.5,3754.3,12170.7,9410.0,2678.9,11415.3,16473.0,12069.3,7854.2,8583.3,353.4,604.6,818.5,8961.6,1494.6,2194.2,4921.9,2530.1,1111.6,6493.9,11143.7,6328.5,3007.2,9705.9,6464.8,5884.8,4353.7,4419.7,1208.9,4370.9,2825.1,905.2,3333.0,3911.6,6575.2,4027.1,12523.8,9182.1,1813.0,10958.1,16555.0,10618.6,5657.6,8271.2,387.9,808.9,589.5,8456.7,23996.6,24158.2
