subject_ID,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior
CNBD_00021,16036.6,53123.4,8449.5,3562.0,5341.0,2109.2,20326.9,4331.5,1622.0,456.3,3962.9,15630.2,55175.6,8546.8,3374.4,5576.5,2184.9,4257.4,1715.6,525.4,4142.1,140.8,993.9,518.9,467.4,656.2,718.8
CNBD_00022,15821.3,58455.1,9695.6,3908.5,5588.2,2282.2,22297.2,5341.7,1861.3,426.8,4618.4,20587.5,55707.8,10109.9,4207.2,5957.5,2228.5,5660.6,2035.8,592.7,4493.9,205.4,1132.0,624.3,441.5,602.3,826.0
CNBD_00023,13660.6,55426.3,8438.2,3350.5,4875.8,1657.0,17948.2,4106.9,1340.1,363.6,3821.3,16051.9,52833.6,7776.4,2983.9,4769.3,1832.6,4276.0,1788.4,389.2,3486.8,176.0,969.1,380.1,361.0,418.9,761.1
CNBD_00024,15515.6,49921.5,6504.8,2961.0,4544.9,1946.8,21139.0,3904.0,1599.9,376.3,3858.5,13806.5,51225.7,6525.3,2693.6,4681.0,1953.9,4086.6,1877.1,413.4,3772.1,206.7,1059.0,524.5,681.6,489.8,886.8
CNBD_00025,17792.9,71290.6,10916.1,4140.9,5160.5,2426.5,25875.0,4453.9,1786.4,512.8,4429.3,17189.9,71893.4,9763.8,3806.8,5570.5,2369.3,5096.5,1993.6,559.6,4849.7,195.3,1053.5,511.0,628.4,675.2,825.1
CNBD_00027,12655.8,52776.4,8494.9,3735.1,5896.2,2033.4,19596.9,4651.2,1814.0,469.7,4538.5,14610.8,50894.9,8997.6,3375.0,5474.3,2306.9,5210.9,2064.5,452.3,4334.8,219.6,850.3,546.5,807.7,657.3,634.5
CNBD_00028,11597.4,47095.4,7760.8,3183.2,4463.8,1864.5,17196.6,3723.2,1409.1,355.9,3558.2,15676.8,45347.7,8270.4,3170.0,4145.8,2135.5,4032.2,1550.3,436.7,3499.1,166.1,1090.7,495.2,498.8,586.1,902.1
CNBD_00030,22040.0,50151.1,9886.4,4490.1,5547.6,2401.1,20470.8,4511.3,2022.4,613.3,4182.3,22485.7,55051.0,9443.5,4644.0,5864.3,2300.4,5127.9,2139.0,594.9,4563.0,178.6,1150.8,720.2,815.1,789.1,868.4
CNBD_00031,17105.9,47468.3,7612.7,3259.6,4947.9,1933.1,15639.5,2433.6,1399.4,314.6,3286.9,11558.9,55288.6,7596.8,3443.9,5153.7,1823.8,4563.6,1653.1,431.6,3343.4,128.8,687.5,293.6,565.3,407.8,426.8
CNBD_00032,15646.9,51160.3,7154.6,3633.1,4686.8,2023.1,18974.1,4083.5,1618.7,443.3,3760.5,14356.8,47819.5,7357.0,3591.3,4723.0,2007.5,3887.2,1755.8,569.6,3560.8,125.8,1026.6,585.9,503.5,292.6,583.7
CNBD_00033,18856.8,69777.9,9072.1,4194.7,5563.3,1952.5,26072.6,4657.5,2019.2,584.1,4922.3,17575.4,72697.4,8880.2,3975.8,5942.7,2091.6,5267.2,2406.2,714.9,5157.0,145.9,999.3,674.0,1140.3,915.4,922.4
CNBD_00038,15648.6,59408.9,8758.9,3854.0,5497.5,2081.0,22145.2,5055.5,1905.1,604.2,4901.1,15164.5,62367.8,8654.4,3441.6,5641.8,2078.5,5193.3,2136.3,538.0,4618.7,217.4,1192.4,669.9,982.8,913.4,904.4
CNBD_00040,16200.4,72231.1,8295.2,3949.0,4605.3,1968.6,22203.6,4456.4,1953.3,377.8,4146.8,16219.0,68916.5,8739.7,3832.7,4611.9,1999.1,4675.8,1957.9,435.1,4080.5,214.2,1326.4,560.4,725.0,778.0,687.0
CNBD_00043,15865.3,48511.5,7508.0,3337.2,4822.7,2040.8,19369.8,3609.8,1519.0,417.4,3706.2,15373.4,49811.0,7346.7,3421.6,5034.5,2007.2,3756.9,1624.4,517.4,3880.3,214.7,944.2,454.4,525.1,473.7,781.1
CNBD_00044,13656.5,50562.2,7817.8,2718.6,4522.2,1622.7,18819.8,3721.1,1363.9,332.3,3706.4,12678.2,50657.0,8326.8,2935.8,4927.7,1751.9,4005.1,1630.4,463.5,3707.0,42.0,1022.9,629.5,719.3,715.5,812.9
CNBD_00047,15090.6,59831.5,8171.8,3256.1,5197.6,1945.3,20726.1,4006.9,1434.9,421.4,4225.6,15225.7,60109.5,7635.1,3352.9,5294.8,2178.3,3808.5,1646.6,464.5,4063.9,227.5,925.2,470.5,691.0,724.6,776.6
CNBD_00048,13355.9,55013.9,8832.1,3220.8,5722.7,2261.6,21242.3,4782.8,1758.7,522.1,4108.5,13509.1,58413.7,8487.1,3106.8,5775.9,2161.6,5015.8,2138.2,665.0,4365.9,106.7,905.3,427.2,817.1,859.7,697.3
CNBD_00051,16761.5,42755.0,7771.3,2815.0,4510.2,1747.8,16641.4,3498.4,1580.8,388.6,3643.0,16107.4,45469.6,7553.5,2879.1,4575.4,1905.9,4211.4,1730.5,451.5,3647.3,139.7,643.2,429.4,588.3,565.6,684.8
CNBD_00052,17014.5,58248.3,8726.1,3943.5,5273.7,2255.0,24131.7,4856.4,2000.2,456.8,4823.0,16940.9,56826.9,8660.3,3937.4,5739.9,2251.7,4796.0,2233.8,492.1,5054.6,241.8,911.2,555.6,576.5,621.5,785.5
CNBD_00054,18136.2,71384.7,9119.2,3579.3,5651.7,2271.1,22838.9,4586.9,1955.8,389.3,4602.7,14369.3,67560.7,8798.2,3446.7,5944.5,2109.5,5089.0,2048.6,503.5,4615.8,188.2,1046.4,519.6,585.7,675.7,759.4
CNBD_00055,16477.3,49527.0,8667.2,2786.1,4314.6,1779.1,18890.7,3779.1,1417.2,269.5,3789.9,19125.3,44917.4,8199.1,2741.6,4412.3,1861.6,4006.2,1512.3,407.4,3750.1,137.4,1009.8,470.1,756.1,674.7,870.9
CNBD_00056,13534.2,61581.5,8767.9,4337.3,5626.4,2379.6,19749.7,4670.2,1678.9,537.0,4239.0,17247.2,59392.2,8627.4,4489.9,5831.8,2018.9,4778.2,2041.4,702.6,4438.4,159.2,933.4,656.2,839.5,712.7,827.0
CNBD_00059,19956.0,47892.3,8611.7,3318.2,5484.0,2207.2,18949.3,4388.3,1733.9,426.7,3902.2,17256.8,52661.5,8063.9,3390.8,5726.3,2163.8,3857.4,1878.9,435.3,3731.2,165.7,765.4,494.1,632.1,567.9,598.7
CNBD_00065,13881.3,58296.3,8041.1,3433.4,4953.9,1806.1,19637.6,3710.6,1394.1,551.2,4027.8,13273.6,61368.3,7539.6,3563.5,5216.1,1916.7,3994.0,1705.2,534.3,4203.8,182.8,840.6,392.8,696.9,670.5,756.1
CNBD_00066,15448.1,55910.2,9075.5,3706.2,5433.1,2092.5,22631.0,4330.0,1563.4,407.5,4558.3,13459.9,55586.5,9802.9,4130.1,5470.8,2063.9,4584.6,1747.1,497.7,4137.0,166.3,1150.2,422.3,475.7,452.7,1089.1
CNBD_00067,14982.3,54746.8,8430.7,3502.2,5191.9,1993.1,17962.9,4064.3,1536.0,474.7,3713.2,13581.9,55484.0,8078.3,3677.8,5299.3,1962.8,4254.0,1619.1,524.6,3632.0,179.8,886.2,536.1,496.1,524.3,770.7
CNBD_00070,11458.6,48153.2,6517.6,3306.2,4413.7,1640.9,19464.0,3670.0,1214.5,463.2,4014.3,10561.0,48099.9,6424.6,3518.3,4627.6,1593.2,3510.4,1253.5,527.5,3886.6,126.7,895.8,464.3,694.0,646.4,776.9
CNBD_00071,11994.7,52736.6,6874.6,3452.7,4648.3,1614.2,20267.5,3723.2,1296.4,546.1,3706.2,11087.0,50664.9,6620.9,3623.4,4522.5,1471.8,3732.3,1450.3,447.1,3652.3,183.2,1007.3,489.9,692.9,660.1,959.7
CNBD_00072,12838.9,50722.4,7089.9,3262.8,4829.5,1983.6,21192.8,3603.3,1218.4,446.2,3823.5,12008.7,48998.0,6581.8,3285.8,4905.8,1890.8,3647.0,1288.9,496.7,3775.3,218.6,760.4,623.0,633.7,436.1,858.6
CNBD_00073,13143.6,56566.7,6276.6,3356.2,4341.8,1652.5,21280.5,3537.3,1364.6,518.9,3738.3,11856.0,53911.0,5940.6,3111.7,4474.2,1471.1,3807.0,1529.1,506.6,3493.9,199.0,1038.0,559.4,747.8,812.9,869.5
CNBD_00074,12015.1,46623.2,7778.4,3162.8,4474.4,1601.3,19361.3,3837.5,1481.7,732.3,3603.4,11717.6,46223.5,6429.6,3651.5,4947.3,1682.7,4209.6,1746.6,606.8,3697.2,135.2,980.6,473.4,537.6,447.7,805.1
CNBD_00075,12280.6,47339.7,6910.2,2997.9,4923.3,1413.7,21958.0,4028.4,1391.4,534.3,3711.5,12281.2,47994.4,6931.6,3169.1,4876.3,1492.1,4169.7,1426.7,643.7,3530.3,200.2,1036.0,479.5,656.6,479.4,772.1
CNBD_00076,11453.0,45849.2,6298.3,3821.4,4853.0,1517.8,18284.0,2957.8,1221.2,430.1,3028.9,10709.1,45386.1,5790.8,4408.6,5225.4,1593.2,3036.0,1234.9,386.9,3105.4,207.0,931.4,347.3,350.6,329.4,723.5
CNBD_00077,11471.3,56129.0,6529.4,3284.2,3814.5,1473.8,20133.6,3413.8,1274.9,519.3,3605.0,11191.2,54949.7,6517.2,3168.2,3686.3,1399.9,3550.1,1440.9,483.4,3543.6,201.6,744.0,401.0,653.0,479.5,885.7
CNBD_00080,12042.7,51822.0,7970.9,2781.0,3933.2,1387.5,18451.9,3865.9,1412.1,545.9,3281.6,11686.6,50424.0,6494.4,3194.6,4975.0,1567.3,4182.2,1598.2,560.3,3405.5,212.6,756.2,330.9,567.6,521.9,743.7
CNBD_00081,13889.5,49830.5,7600.0,3088.7,4783.1,1804.9,22174.7,3769.2,1551.8,456.2,3672.2,13039.7,52798.2,6995.8,3166.5,4775.4,1775.6,3890.0,1763.2,422.9,3674.9,183.1,1050.9,508.9,550.1,625.5,915.9
CNBD_00082,13160.9,59011.2,7622.2,3503.2,5277.5,1706.6,21350.4,3907.2,1340.5,581.3,3877.3,12805.4,58765.5,7105.1,3574.9,5338.1,1623.1,4282.2,1576.4,521.0,3803.0,214.6,951.4,506.4,505.1,585.0,913.3
CNBD_00083,10759.4,48087.4,6324.2,3743.7,4608.2,1287.4,18353.0,3880.9,1181.7,628.1,3350.9,9231.8,47758.2,5928.5,3859.5,2440.6,882.3,3690.6,1326.3,628.2,3363.9,207.3,767.1,445.1,608.0,504.8,747.8
CNBD_00084,11274.8,47980.1,8013.3,3922.1,4695.2,1758.8,20053.7,3721.3,1379.3,625.0,3772.9,11528.8,51368.2,7610.3,4410.8,4846.2,1781.3,3790.6,1685.5,524.1,3754.1,206.3,1130.1,399.1,453.5,520.9,1039.3
CNBD_00085,14522.1,55767.2,8996.0,3320.1,5408.8,1802.0,22731.1,3852.2,1336.4,675.5,4086.8,14263.5,56095.3,7711.1,3406.6,5461.5,1857.5,4087.1,1703.9,519.2,4206.5,151.5,1246.0,653.8,791.0,871.4,957.3
CNBD_00086,10227.2,47326.8,7372.0,3634.9,5098.5,1646.8,18561.4,3602.3,1330.7,636.2,3762.7,10563.2,48934.5,7073.3,3790.0,5038.4,1592.5,3733.7,1621.5,450.9,3744.3,222.5,745.0,518.6,636.7,521.7,802.6
CNBD_00087,11887.2,56110.4,6740.5,3241.5,5438.8,1607.9,18792.1,4133.2,1462.6,568.9,3750.0,10845.8,56266.9,6285.9,3156.7,5303.9,1680.3,4219.4,1655.0,495.0,3658.8,150.5,639.9,351.5,443.2,488.7,634.8
CNBD_00091,10763.0,47170.4,7374.0,3846.5,4285.0,1655.1,20412.5,3934.8,1411.9,543.3,3855.2,10332.5,46550.9,7387.1,3992.7,4771.1,1709.1,4107.7,1631.7,546.8,3622.9,211.6,970.2,479.5,640.2,617.3,809.6
CNBD_00092,11753.7,54463.0,6984.7,3348.8,4420.0,1473.5,19368.3,3680.7,1229.2,538.0,3561.1,11196.1,53988.6,6576.4,3420.3,4852.8,1581.3,3601.1,1362.0,491.3,3442.0,130.9,1084.8,438.5,685.7,1061.8,958.9
CNBD_00093,11864.6,54089.7,7197.8,3900.4,4669.3,1656.2,19495.4,3456.1,1182.3,482.7,3681.8,11623.8,55267.2,6772.8,3869.3,4745.7,1577.4,3669.1,1328.5,487.9,3656.5,249.9,918.8,520.3,653.5,445.9,931.1
CNBD_00095,10301.2,46268.8,6175.4,2853.4,4276.2,1527.1,17560.3,3684.9,1493.5,524.2,3341.6,10545.8,45329.0,6109.9,2741.6,4182.6,1511.7,4195.2,1652.7,519.6,3387.4,254.4,965.3,463.8,440.9,416.7,792.5
CNBD_00096,11226.0,51121.9,7225.4,3105.3,4985.5,1596.9,18692.9,3281.7,1207.3,595.2,3511.6,11104.2,51336.9,6709.3,3126.6,5133.2,1513.4,3511.4,1401.2,397.1,3348.0,187.9,980.9,520.8,509.0,500.4,1010.2
CNBD_00097,10888.9,49524.7,6496.5,3797.9,4613.2,1777.4,18189.6,3590.5,1183.6,547.4,3473.6,10650.1,52135.4,6374.7,3993.5,4921.9,1772.2,3885.5,1220.0,435.9,3423.0,171.2,800.8,349.5,617.1,509.3,901.7
CNBD_00098,12912.8,57322.7,8139.0,3777.1,5594.4,1803.0,20564.7,3872.6,1446.5,730.3,3798.3,12250.9,56935.6,7457.1,3718.9,5433.6,1824.5,4412.7,1577.4,578.7,3907.5,174.5,956.1,537.5,470.9,495.9,994.0
CNBD_00099,12838.7,53208.6,7372.9,3608.8,4330.1,1419.7,22065.7,3836.5,1535.5,631.7,3753.7,12891.7,54833.7,6851.4,3785.4,4475.8,1633.9,3956.4,1873.0,520.5,3797.1,197.0,1011.9,513.0,521.8,514.4,1079.5
CNBD_00100,12126.3,49489.3,7080.0,3766.7,5630.4,2008.3,18991.3,4073.6,1480.3,539.4,4006.7,11810.8,49497.5,6332.1,3604.9,5625.1,1780.2,4434.4,1660.9,607.9,4109.3,171.4,861.7,492.4,627.6,559.5,867.9
CNBD_00101,13464.7,59264.8,6879.0,3343.2,4972.6,1583.8,21810.4,3555.0,1440.9,440.6,3938.8,12524.7,61317.5,6802.1,3584.2,4819.3,1504.1,4049.8,1801.9,432.8,3742.8,239.0,929.8,454.7,448.8,422.4,1077.9
CNBD_00102,12576.2,47952.1,6961.2,3447.9,4515.4,1840.2,18370.4,4010.8,1391.0,525.2,3413.1,12030.7,48365.9,6239.8,3628.5,4689.4,2030.0,3939.8,1619.7,476.6,3402.8,216.4,838.5,614.3,598.6,494.3,835.1
CNBD_00103,13476.6,60375.2,7777.3,3149.9,4703.8,1590.8,22420.6,3879.9,1330.8,541.7,4161.1,13668.7,64603.4,7029.8,3267.8,4661.1,1568.4,4259.1,1546.7,503.4,3960.9,254.8,946.3,411.4,616.3,566.7,819.2
CNBD_00104,13855.4,53424.0,7949.6,3266.0,4223.0,1917.5,19444.5,3530.3,1288.1,503.8,3876.6,13270.3,53475.9,7494.1,2982.8,4627.3,1841.8,3576.0,1577.4,468.9,3811.8,239.1,1042.3,693.9,780.8,606.0,948.7
CNBD_00106,11608.9,50882.5,6867.4,2941.5,5376.1,1384.6,20211.0,3234.6,1435.0,432.6,3706.9,11372.4,52303.6,6778.1,3154.9,5414.2,1542.5,3598.7,1486.6,479.1,3609.4,172.8,1168.1,539.0,622.0,808.5,1049.4
CNBD_00108,11932.6,48468.7,6534.5,3132.9,4298.7,1498.7,18181.3,3978.7,1346.2,665.7,3433.9,11203.6,50111.5,6214.6,3335.3,4248.5,1452.2,4029.2,1537.8,551.0,3385.7,167.7,928.0,562.6,493.4,450.4,860.0
CNBD_00110,15187.7,62005.2,7645.2,4159.3,5878.5,2085.2,24774.8,4547.6,1807.6,776.5,4641.1,14693.1,63600.9,7574.3,4442.7,5935.3,2108.6,4479.3,2103.8,781.0,4445.1,225.2,819.7,491.0,841.0,724.1,771.4
CNBD_00111,13222.0,51353.2,6706.9,2738.3,4784.3,1617.6,18910.1,3290.7,1653.2,563.4,3516.8,11914.2,50462.9,6830.5,2718.1,4597.6,1684.5,3972.7,1819.7,516.3,3498.1,155.5,952.9,429.2,671.8,632.9,810.7
CNBD_00113,12725.4,53369.4,7743.2,3718.6,4814.6,1601.8,21068.7,3569.1,1380.6,500.3,3860.7,12337.0,53379.7,7377.2,3632.1,4796.2,1449.0,3684.7,1477.9,472.0,4066.0,174.9,1174.9,607.8,657.7,656.7,940.4
CNBD_00114,11541.1,57420.2,7729.2,3523.8,4736.7,1691.3,19392.6,3565.1,1238.3,668.6,3633.4,11900.8,60899.1,7198.0,3838.2,4877.8,1636.8,3578.0,1599.8,558.5,3896.5,206.9,1120.8,578.2,740.2,809.0,804.8
CNBD_00115,13023.0,48977.7,6952.6,3607.8,4986.9,1865.2,19430.0,3090.0,1046.1,593.8,3438.7,11926.5,50150.1,6737.5,3761.8,4838.4,1904.7,3582.5,1394.9,606.7,3679.1,206.3,1315.0,543.2,490.1,551.5,1107.3
CNBD_00116,12692.0,50370.9,6758.9,3277.7,5582.2,1610.3,19802.9,3662.5,1225.8,683.1,3680.9,11339.1,51179.3,6674.2,3806.0,5522.0,1703.1,3863.9,1678.1,548.7,3580.6,144.8,869.2,519.6,465.5,411.2,736.1
CNBD_00117,13231.4,55163.3,6903.1,3732.7,5490.7,1548.8,20353.9,3732.8,1210.3,509.6,4047.3,13296.9,57736.3,6540.5,3909.0,5181.2,1618.5,4040.2,1362.5,405.8,3845.3,162.7,859.8,444.7,393.9,399.7,713.0
CNBD_00118,11561.2,45595.3,6019.9,2679.7,3766.0,1583.8,19261.5,3414.7,1046.1,422.6,3261.0,10699.5,44599.0,6116.7,2714.2,3839.0,1561.8,3793.3,1330.4,438.9,3151.6,238.9,922.7,398.6,545.0,391.4,912.6
CNBD_00121,17308.5,57008.6,9145.9,4062.5,5857.3,2175.5,23395.6,4541.4,2000.6,518.9,4942.9,15390.6,57088.6,9021.5,4263.4,6023.0,2138.7,4599.6,2223.8,528.1,4834.6,243.1,1232.3,681.3,590.8,550.6,1129.3
CNBD_00124,15383.5,61899.2,8870.6,3697.5,6385.7,2210.0,20581.4,4626.0,1420.5,584.7,4182.0,15041.1,56427.4,8548.6,3777.7,6780.8,2387.6,5185.3,1950.3,541.9,4245.6,217.7,781.1,424.7,736.0,800.0,737.7
CNBD_00126,12918.2,52138.7,8320.5,3317.0,4772.1,1908.5,18673.7,3771.9,1505.3,410.6,3822.2,15015.5,49970.6,8046.7,3428.5,4947.8,1988.5,3948.0,1516.3,456.9,3609.5,114.9,971.5,449.9,710.0,656.0,834.5
CNBD_00128,16812.6,58721.7,9858.7,3417.1,5851.7,2410.9,23859.0,4595.1,1800.9,600.7,4885.9,13861.5,57561.0,9514.1,3297.0,5923.2,2384.3,4927.3,2093.0,542.9,4959.6,198.1,1068.3,668.9,1059.6,997.5,898.5
CNBD_00130,16361.5,53518.2,8136.8,2824.9,5322.0,2085.6,21487.9,4159.4,1746.5,442.4,4015.9,15707.9,56954.5,7771.0,2980.8,5642.5,2047.5,4516.8,1957.7,501.4,4183.0,151.2,1042.5,449.9,1029.1,942.4,762.7
CNBD_00141,5714.0,17370.3,8923.2,4058.9,5901.3,2284.6,10067.9,4422.4,1564.6,644.1,4203.5,6917.0,17283.6,9115.9,4128.8,6333.2,2414.4,4548.2,1546.7,652.6,4016.2,151.0,922.5,482.4,758.6,865.0,865.2
CNBD_00142,8543.2,40990.7,7188.7,3013.9,3411.5,1212.9,14036.4,3843.4,1568.7,508.1,3414.2,8567.8,37463.1,8611.1,3042.3,5308.9,1668.4,4114.9,1561.8,458.3,3658.0,139.6,565.6,264.7,533.9,534.0,513.6
CNBD_00144,15320.7,58011.0,8712.9,3613.7,5000.6,2041.8,24628.2,4716.1,1755.2,459.4,5018.4,13918.0,61757.2,8384.9,3401.4,5008.8,2181.4,4816.1,2082.3,513.7,4834.1,166.7,644.8,358.1,788.0,691.2,553.0
CNBD_00145,14090.7,49568.4,8458.3,4198.6,4484.5,1967.8,21024.4,4417.4,1532.6,535.9,4253.5,13097.7,48658.1,8015.5,4326.4,4843.5,2117.2,4263.1,1802.8,611.4,4133.0,143.3,879.0,513.3,444.0,567.2,956.7
CNBD_00146,13486.6,63700.2,8035.1,3941.1,5485.6,2026.8,21123.1,4050.5,1520.0,498.2,4017.3,12406.5,62226.0,7657.1,3944.7,5709.2,2168.9,4393.3,1754.3,553.8,3986.0,153.8,1275.2,671.0,1061.7,1051.9,1008.8
CNBD_00148,13182.2,47071.9,6999.5,3036.1,4414.3,1605.3,18401.4,4302.6,1198.0,381.4,3645.1,13068.4,48628.5,6632.4,3797.0,3778.5,1976.4,4635.6,1594.2,493.1,3696.3,204.0,896.2,513.0,461.7,667.8,670.7
CNBD_00149,12939.1,51107.5,8205.3,4062.8,5492.4,1871.2,19591.9,4096.9,1426.5,408.6,3630.9,11294.2,50768.2,7294.3,3992.4,5287.8,1818.5,4495.4,1600.0,448.9,3238.6,201.7,1030.8,591.0,707.0,748.1,853.2
CNBD_00150,12363.4,49735.4,7274.0,3777.4,5102.4,1704.9,18313.3,3575.8,1280.8,408.8,3241.7,11182.9,50427.8,7171.0,3771.0,4891.1,1860.1,3713.6,1425.0,480.2,2961.6,162.0,1183.6,555.6,741.4,651.6,1047.8
CNBD_00151,11147.5,46678.4,7192.9,3865.7,4395.9,1775.5,18815.8,3880.6,1267.2,375.7,3976.0,11263.7,47950.4,7432.4,3702.7,4404.7,1826.0,3619.3,1458.6,423.1,3661.2,192.5,1104.6,519.7,883.0,934.1,1061.5
CNBD_00152,13760.7,52410.7,8801.4,3939.8,5465.2,1994.9,21361.2,3754.9,1513.6,402.2,3962.6,12959.1,53675.7,8693.7,4035.7,5376.3,1687.3,4157.3,1857.9,485.1,3883.1,268.1,911.0,524.9,866.9,889.4,1045.1
CNBD_00153,13293.4,52770.6,7193.8,4182.1,6227.8,1912.6,18960.4,3544.2,1193.0,389.9,3931.6,12751.2,53460.6,7346.0,4282.0,5940.2,1906.4,3552.7,1445.3,370.3,3788.6,253.7,1157.4,694.7,622.3,662.7,1088.6
CNBD_00154,12323.0,47177.8,7356.0,3102.4,6450.3,1912.2,21181.0,3947.1,1709.3,425.1,3758.5,11929.2,47553.9,6736.4,3297.5,5354.8,1999.7,4373.9,1617.1,565.4,3711.6,245.0,916.8,494.7,881.2,745.8,992.7
CNBD_00155,13328.3,48864.7,7037.7,4177.7,5364.4,1837.4,20265.8,3443.8,975.6,327.6,3773.9,12507.7,48169.6,7372.5,4062.3,4961.1,1832.2,3310.6,1358.5,334.3,3497.1,224.7,1225.0,559.4,544.2,559.7,1048.2
CNBD_00156,12864.6,52993.5,7184.0,3607.4,5174.7,1539.4,20763.4,3694.9,1552.8,388.5,4284.1,12228.5,52973.1,6645.7,3224.1,5207.8,1713.2,4108.2,1400.1,375.6,3894.2,198.1,998.9,640.1,876.2,951.1,1007.8
CNBD_00157,12808.0,51842.9,7012.4,2982.0,5359.1,1903.1,20391.3,3929.6,1816.0,534.0,3454.8,13354.4,49206.9,6309.6,3128.5,5401.0,1900.7,4443.8,1918.2,518.4,3596.2,206.8,1131.2,619.1,455.4,518.3,1126.9
CNBD_00160,9024.9,39139.7,7258.9,3425.4,4756.6,1440.8,15031.5,3041.7,1139.0,300.1,2610.2,8512.9,39600.9,6186.0,3497.6,4771.8,1391.1,3397.8,1255.9,464.8,2566.1,186.6,888.4,327.7,431.3,651.8,801.9
CNBD_00162,11222.7,53356.5,7706.1,3561.0,5317.9,1760.0,22286.3,3804.6,1311.7,583.8,3304.8,12270.9,55418.7,7556.4,3708.6,5415.9,1775.8,4195.7,1700.4,499.3,3867.1,186.6,1237.6,523.2,875.8,766.5,943.6
CNBD_00163,15319.8,55373.9,8281.9,4130.1,5556.5,2012.4,22315.0,3851.6,1440.0,516.5,4094.3,13286.4,52187.6,7988.2,4186.1,5347.4,2035.4,4094.3,1621.6,461.8,3493.2,183.2,1241.5,637.2,937.7,775.3,909.4
CNBD_00165,13039.5,56810.8,7446.3,5104.3,5894.5,2249.3,19557.8,3581.1,1336.3,429.4,3347.3,13094.5,56289.2,7335.4,6197.5,5734.9,2127.1,3938.7,1603.9,542.6,3675.5,180.4,1097.0,556.5,492.6,488.7,1113.5
